Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-65.078156	110.71283	47.65806	-345.06262	136.2088	144.88695	517.70636	-4.3544474	209.17647	572.2	3999	5.635505	4.429692	30.139776	-7.9072795	5.6354413	4.4271703	30.394482	-9.790086	-4.075757	1.8297389	11.658104	-14.835232	-6.8637643	1.0818014	95.83097553253174
2	-92.292076	123.38882	13.29344	-335.5576	-75.260445	140.27513	36.943344	-390.16663	292.53845	231.5	7999	22.41994	7.949323	60.759254	-5.5964046	22.419752	7.948013	61.27551	-6.057787	-1.8651148	2.6898375	18.808338	-16.85123	-24.100018	3.5045722	315.1109435558319
3	-73.64664	148.09242	19.56441	-545.44495	586.20953	255.66183	772.756	4.2742233	184.64	911.7	11999	41.883915	8.482484	79.77013	-14.458447	41.88348	8.481943	80.317764	-16.903309	-1.3722211	3.048388	22.785233	-14.875822	-43.509502	7.8345895	565.5039315223694
4	-21.261414	99.8807	88.96717	-281.94186	734.58044	75.16075	817.1274	585.8178	264.8	1000.0	15999	46.79079	8.311672	81.03255	-28.96205	46.790855	8.315387	80.05642	-19.577326	-2.7565682	2.3138752	19.516685	-15.088843	-47.717884	7.547983	849.0014886856079
5	-27.413433	85.182526	48.688786	-206.28172	623.26715	94.700874	815.17096	421.48557	419.375	1000.0	19999	46.29667	8.452839	79.05398	-26.177599	46.296185	8.463518	77.71831	-28.539467	-2.8713312	2.2314644	20.344553	-15.547682	-47.09083	7.597828	1116.4169533252716
6	-31.32841	84.3327	101.4364	-222.45108	657.5273	240.75854	911.833	49.307823	490.66666	909.6	23999	45.06458	8.615901	79.41027	-27.10182	45.064747	8.611226	83.75951	-30.380726	-2.9367976	2.1789818	20.87929	-17.27517	-45.797493	6.53789	1367.1171934604645
7	40.81695	60.66128	151.27486	-70.43553	679.0365	233.36562	842.7383	24.937687	395.33334	902.5	27999	44.31172	8.633525	78.78339	-34.497467	44.311684	8.6295185	80.87817	-35.15033	-3.017226	2.1115441	19.5519	-16.984495	-45.00225	6.4337063	1600.94793343544
8	13.427564	31.490234	52.644787	-45.65882	607.87164	259.56345	896.7294	15.341888	699.0	901.5	31999	43.852455	8.126168	77.55204	-21.893606	43.852646	8.116338	76.936935	-26.478397	-3.1509104	2.0295656	24.38926	-14.250856	-44.53532	5.3961067	1901.4034729003906
9	132.18333	52.287636	204.84113	68.781334	489.62006	194.20847	758.91425	19.619825	759.0	901.9	35999	44.28615	7.8327775	77.51004	-26.980305	44.28648	7.829012	77.82116	-34.01116	-3.266355	1.9713541	23.001581	-15.136787	-44.970116	4.718683	2172.9839236736298
10	127.54388	45.376335	208.37624	80.955864	693.1665	169.62437	921.8159	437.99557	628.0	1000.0	39999	45.485146	7.5173826	79.19814	-28.443562	45.485146	7.514972	78.847664	-25.071104	-3.3188646	1.9160079	21.54173	-15.1748495	-46.176983	4.5155373	2441.5557069778442
11	122.701706	81.302925	300.69125	30.098354	714.8967	44.054043	813.0942	668.8825	517.125	1000.0	43999	47.06966	7.127101	79.388	-70.167046	47.06971	7.1221304	81.79037	-64.830765	-3.3272038	1.8959022	25.187508	-14.488015	-47.753914	4.6071434	2699.982223510742
12	121.680405	73.258514	213.47356	27.74296	646.2368	305.07385	972.9371	84.61324	460.66666	754.3	47999	49.069393	6.780101	81.020355	-38.661877	49.069416	6.7788234	80.58884	-24.674656	-3.3005893	1.8894707	22.206467	-14.880358	-49.744236	4.687661	2964.756003379822
13	147.91829	110.707405	374.29382	22.613102	776.29315	275.85745	1115.2615	185.84285	426.44446	859.7	51999	51.22495	6.4074097	82.55305	-29.067476	51.224754	6.4038415	81.291595	-33.79736	-3.31332	1.8742743	25.166105	-14.206972	-51.89986	4.6996875	3208.5507333278656
14	194.31906	127.442245	351.00833	13.85383	812.67316	220.37976	1144.6936	408.37033	476.5	1000.0	55999	53.324886	6.4104676	81.454994	-35.132378	53.32456	6.4086	80.957306	-38.015995	-3.2742882	1.8749757	29.499002	-16.141071	-53.99112	5.1526346	3452.634167909622
15	135.32016	103.68155	291.18112	12.250728	780.6767	153.50523	925.4209	506.50412	308.69232	1000.0	59999	55.448154	6.4484224	84.61773	-44.846867	55.448036	6.4461327	82.246895	-30.517017	-3.2323241	1.888163	28.077454	-16.442549	-56.119545	5.124138	3688.8904757499695
16	304.10056	127.75159	459.26315	75.18782	987.0031	252.19072	1415.3184	614.1318	813.4	889.6	63999	57.64043	6.5321374	87.0959	-25.761381	57.64035	6.5293484	87.22131	-29.573685	-3.2239745	1.8974738	32.24868	-13.821834	-58.29939	5.0608926	3931.5199615955353
17	294.75943	236.00171	805.37463	63.114162	697.4406	320.28033	1075.8478	119.31962	587.6667	825.2	67999	59.72849	6.7238655	90.61781	-36.38885	59.72838	6.717074	87.85223	-44.697235	-3.1879737	1.928732	29.982687	-16.240746	-60.389896	5.1774607	4188.146070957184
18	172.45317	86.97271	264.73154	42.14073	585.80194	320.5653	1102.4584	44.42224	581.8333	740.8	71999	61.88802	6.8617144	92.18436	-56.944046	61.88775	6.858177	90.5042	-38.076984	-3.1595752	1.9543123	29.433468	-14.503282	-62.54446	5.1301465	4420.153915405273
19	259.58087	168.652	503.71033	24.230188	530.29706	485.27255	1214.1919	13.543526	611.5714	460.4	75999	63.96047	7.019117	92.168015	-33.131016	63.96025	7.0101686	91.63784	-35.078915	-3.1579003	1.984072	33.58139	-14.335096	-64.62093	5.1046968	4652.621567726135
20	311.43097	103.51164	450.85995	156.81657	750.454	348.08896	1172.292	186.48058	825.4	744.8	79999	66.00838	7.1397696	100.75408	-55.67281	66.00834	7.1331415	102.17517	-35.18145	-3.159072	1.9999183	43.72998	-14.463806	-66.68315	5.0091996	4882.126157999039
21	146.25584	128.31432	336.7099	4.3827295	823.1885	579.86945	1672.4092	52.765068	411.0909	564.7	83999	67.98827	7.196265	104.71698	-29.921955	67.98857	7.1935234	104.448875	-35.63636	-3.1449943	2.026832	32.75395	-13.949447	-68.65913	5.0773015	5110.035752058029
22	445.07104	125.12921	548.7518	232.6888	817.8685	268.0871	1015.5273	111.91266	1000.0	797.5	87999	69.69286	7.256903	105.72492	-39.527344	69.69271	7.255989	107.02275	-42.42836	-3.1275222	2.055124	28.60669	-14.757835	-70.37033	5.203586	5328.428984642029
23	353.52344	190.3852	665.0592	111.23272	782.3375	501.24567	1621.8807	26.845322	755.6	650.3	91999	71.32517	7.407327	110.26426	-37.92739	71.325035	7.4033866	108.48022	-34.122166	-3.104487	2.0814297	32.280087	-15.422606	-71.99899	5.1430664	5539.04051733017
24	303.10016	152.68091	548.9615	71.30073	657.36163	416.39227	1448.4502	117.986885	815.2	594.0	95999	72.73739	7.4698	110.7998	-32.356777	72.737236	7.4663315	108.7239	-38.959072	-3.1264331	2.0762756	38.214443	-13.835446	-73.39269	5.303342	5740.341994047165
25	289.8216	218.51123	733.8757	4.062454	744.1921	472.81897	1320.6215	71.91007	413.7	599.7	99999	74.09556	7.662805	112.606476	-37.358013	74.09577	7.6567144	111.52585	-37.98784	-3.1210716	2.0942442	37.264526	-15.380129	-74.75284	5.7841325	5942.155566453934
26	423.45026	185.00111	757.35864	220.28659	811.16223	417.2796	1282.9941	109.884575	753.8	697.6	103999	75.25053	7.757034	113.43112	-62.61926	75.25056	7.757381	114.16551	-44.827995	-3.1219978	2.0941818	34.49306	-15.1141815	-75.89747	5.6412606	6164.0092940330505
27	303.4269	269.30844	851.441	32.22479	1232.4818	640.42334	1984.7843	106.24949	540.7143	771.7	107999	76.43102	7.908105	115.24369	-40.171856	76.43089	7.909075	116.30472	-45.269653	-3.104464	2.1261337	60.895275	-15.006812	-77.06632	5.792673	6407.958740234375
28	473.33728	183.70294	723.26196	205.51743	1148.4574	573.9837	2074.8396	232.68448	1000.0	767.5	111999	77.62734	8.1676445	118.03405	-41.26626	77.62757	8.165891	117.51788	-41.691715	-3.0781605	2.1544905	35.94435	-14.853286	-78.26846	6.058505	6622.914742708206
29	309.00607	105.57435	505.6991	197.78726	872.658	420.92862	1418.8063	142.21107	829.0	742.2	115999	78.716705	8.407098	120.6698	-32.71429	78.71646	8.404672	119.3585	-58.903095	-3.0502248	2.205833	46.382397	-16.397087	-79.364235	5.7982087	6907.898406267166
30	408.80295	307.76733	996.3495	55.159916	797.2502	583.4117	1856.8915	102.52447	462.125	539.7	119999	79.81801	8.795061	124.28794	-42.334206	79.81815	8.791974	124.69563	-36.58147	-3.0503922	2.2129107	34.378384	-14.830992	-80.457886	6.189564	7186.6482837200165
31	451.13052	340.74475	1115.8975	107.91116	811.9296	419.02316	1257.9623	99.95745	770.1667	695.2	123999	80.86826	9.473099	127.95277	-46.853065	80.86844	9.468724	125.81055	-45.89618	-2.9850075	2.3070056	37.665237	-15.189598	-81.51209	6.7790647	7444.151186466217
32	755.10516	451.39462	1238.6088	132.13777	945.5203	481.77597	1911.4249	148.34624	773.6	742.1	127999	82.01218	10.048904	129.5493	-31.544493	82.01197	10.045647	127.54605	-31.458109	-2.9602513	2.300263	56.317673	-13.776089	-82.642235	6.88612	7685.836505413055
33	380.35413	279.11053	997.1447	31.965359	382.76007	419.13043	1117.2668	4.2564487	515.5	341.3	131999	83.06249	10.78552	134.35773	-51.70188	83.06257	10.780703	134.18802	-61.780643	-2.9086175	2.3623483	47.95763	-15.53863	-83.68784	7.4130235	7945.122751235962
34	266.79898	345.78372	1218.3456	3.6805754	1592.1606	446.8998	2217.9197	879.4039	395.5	1000.0	135999	83.78918	11.205085	137.63177	-40.552425	83.78902	11.204998	140.36348	-38.850555	-2.886053	2.3707464	45.018257	-15.258113	-84.40914	8.086668	8183.283776521683
35	861.1111	578.7265	1659.0192	27.408504	1550.6565	536.17596	2317.8833	492.66376	642.3333	923.4	139999	84.75369	11.919386	136.92943	-41.468388	84.75386	11.919848	137.00642	-39.432705	-2.8696597	2.366144	40.78724	-14.816465	-85.36249	8.442107	8452.533492088318
36	410.88092	247.8956	734.0327	81.49376	1657.4232	555.58124	2350.384	967.7805	815.4	1000.0	143999	85.68069	12.532955	140.2469	-38.9226	85.68081	12.533761	144.33311	-57.81949	-2.8492017	2.399987	38.85034	-13.780763	-86.29094	8.4729805	8693.72115445137
37	657.5485	243.29694	952.6508	351.11295	1301.4703	516.30115	2383.4214	305.00787	697.8	912.5	147999	86.50365	13.360737	144.21356	-45.47959	86.5032	13.362319	145.14925	-45.96308	-2.8002546	2.4609852	43.613274	-14.74716	-87.126	8.673652	9438.50136423111
