Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-74.48543	135.40111	0.7404186	-575.67535	125.51613	0.03542528	0.13286348	0.4209132	-0.47260678	4000	-1.4245511e-07	1907.9353	-0.007852098	-1352.6222	0.9189443	0.021088025	0.25475	1.0	14.986187934875488
1	-102.34524	158.21248	-3.4352062	-578.6815	178.68182	-28.421696	0.20880482	-25.464293	-28.534119	8000	4.4107438e-09	570.2398	-0.009105638	-178.87766	0.9186401	0.022735558	0.2845	2.0	30.94444227218628
2	-120.19027	144.46913	-4.934578	-542.3337	199.75	-38.83235	4.2765417	34.2286	-39.590935	12000	1.66893e-08	349.95636	-0.012955644	-18.51706	0.91811335	0.016322639	0.257	2.0	47.587132930755615
3	-71.977066	104.80468	4.4792595	-553.05273	122.8125	-40.690044	5.00429	37.23181	-41.833675	16000	-1.26361845e-08	485.0919	-0.0070894337	-54.025513	0.91762	0.01814455	0.24625	2.0	66.24159216880798
4	-82.90622	140.89919	12.510362	-555.7627	158.4	-35.634827	6.1944637	26.857414	-39.611027	20000	5.2452087e-09	521.411	-0.0041207764	-219.29977	0.9171614	0.024759902	0.29875	3.0	83.2579231262207
5	-65.62451	98.37671	11.473648	-565.94037	98.710526	-31.156805	11.628591	19.838205	-45.926872	24000	1.835823e-08	558.3355	-0.007978738	-181.98474	0.91645145	0.018030018	0.2335	3.0	98.40766429901123
6	-190.78633	254.521	-8.57795	-675.2242	295.16666	-45.73742	9.413063	7.872729	-53.412937	28000	1.3113022e-08	309.956	-0.007867287	-179.56587	0.91581833	0.019625552	0.201	3.0	114.40604948997498
7	-57.62561	86.45216	7.1451755	-585.15424	87.88636	-41.67617	15.321495	23.944714	-60.63521	32000	1.8119811e-08	539.5644	-0.007355856	-290.08734	0.91516954	0.016167527	0.283	3.0	130.75066685676575
8	-106.345985	165.08707	5.173521	-606.30914	176.2	-37.700172	14.164125	15.051761	-59.970085	36000	-1.6242266e-08	370.08203	-0.006248304	-217.74731	0.9144956	0.021345483	0.23325	3.0	147.61994886398315
9	-79.2216	139.44872	25.518011	-601.6236	137.31035	-41.267376	16.42587	11.113919	-60.66512	40000	5.4836273e-09	315.66473	-0.008196503	-153.93034	0.9138234	0.021026168	0.2775	3.0	165.9164273738861
10	-97.43646	173.63095	12.783285	-625.65967	157.28572	-45.443317	16.783997	11.178907	-61.74892	44000	-4.7683715e-09	341.8892	-0.0069503807	-175.44092	0.9131611	0.023155488	0.24825	3.0	184.7476351261139
