Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-70.98828	27.682016	-46.751873	-109.03068	635.8	-0.047694974	0.090629205	0.28872085	-0.33952844	4000	-4.7683715e-09	236.9463	-0.014479507	-51.46855	0.9189432	0.01145609	0.22125	79.0	8.299409866333008
1	-88.212036	28.812033	-47.644333	-119.64444	413.625	-6.4977894	0.6336858	1.5109538	-7.788366	8000	-4.708767e-09	417.78192	-0.013285443	-80.9317	0.9195882	0.015089874	0.16175	24.0	18.079251527786255
2	-95.18476	21.881643	-46.694843	-114.979324	247.625	-8.64192	4.7983704	-1.3703871	-15.569934	12000	-3.3140182e-08	852.16223	-0.0129938135	-238.79926	0.91638786	0.015104186	0.1115	23.0	26.83052635192871
3	-64.514946	27.926876	-47.38509	-112.855576	770.25	-6.0839453	4.8764997	-2.435303	-25.429125	16000	2.026558e-09	81.56655	-0.015012834	-17.506882	0.919271	0.009349747	0.13225	79.0	37.05594086647034
4	-70.94709	27.590359	-46.427376	-106.6697	637.4	-5.9983644	4.654353	-3.328262	-26.442339	20000	-7.152557e-09	107.13307	-0.014710032	-18.708649	0.91279334	0.015084192	0.18425	54.0	47.13864183425903
5	-87.25734	31.855736	-44.610355	-127.23895	422.25	-6.8201623	6.3184853	12.261502	-27.750254	24000	2.002716e-08	335.69043	-0.018454282	-103.45923	0.9163181	0.010362254	0.1085	79.0	57.51774740219116
6	-83.61137	32.171345	-42.839897	-114.84665	473.42856	-7.152792	7.347049	-3.8689566	-30.459839	28000	-3.8146974e-09	256.2309	-0.014923552	-45.166092	0.92574376	0.011923027	0.1215	79.0	67.83367848396301
7	-69.74925	30.443676	-43.102562	-107.594406	627.4	-7.511629	7.677259	-4.0861025	-32.40961	32000	1.2516975e-08	117.826294	-0.014092118	-43.05049	0.93726003	0.010937187	0.18725	79.0	77.6726016998291
8	-63.015423	27.386438	-42.56349	-109.83341	781.5	-5.970878	5.034992	-4.518288	-33.62123	36000	8.106232e-09	54.035458	-0.014923933	-11.91309	0.9391018	0.015405321	0.21075	31.0	86.4564642906189
9	-70.29884	29.28063	-43.19818	-109.41799	635.8	-6.351917	5.748014	-4.463121	-34.43554	40000	2.3841857e-09	117.74339	-0.015501439	-25.153023	0.9361383	0.012742954	0.1755	79.0	96.47192072868347
10	-70.34987	31.76428	-42.116722	-109.92891	623.0	-6.298211	5.941446	-4.2602873	-35.100277	44000	-8.5830685e-09	99.97417	-0.018735606	-14.31395	0.9268078	0.01511147	0.157	59.0	105.68595337867737
11	-66.80941	29.473595	-42.66463	-106.43186	628.2	-6.1786914	6.855521	-3.3664677	-35.898632	48000	1.4305115e-09	77.06241	-0.016485278	-13.153236	0.9151056	0.01214335	0.159	79.0	115.62492418289185
12	-41.383076	2.0949183	-39.156246	-44.74239	1000.0	-4.7098784	2.748052	-3.7272959	-37.16564	52000	-2.384186e-10	10.032005	-0.010972599	-8.425827	0.91430795	0.015637638	0.17325	41.0	124.6267454624176
13	-62.065205	30.907742	-33.52447	-114.27665	764.75	-4.5961986	2.3801582	-3.8340545	-37.12671	56000	-6.437302e-09	84.10226	-0.011031289	-35.56087	0.90539575	0.010463064	0.1665	79.0	134.20487356185913
14	-83.989136	30.897072	-36.30379	-111.39982	381.44446	-5.836813	6.4197135	-3.6196141	-37.456505	60000	8.5830685e-09	372.0058	-0.01805906	-214.47064	0.90576947	0.011457116	0.1205	79.0	143.94391059875488
15	-67.84227	31.506153	-38.18208	-106.38695	636.0	-6.947459	9.886306	-2.691114	-42.11564	64000	-9.298325e-09	84.19992	-0.016531065	-15.786766	0.9087259	0.010121634	0.1265	79.0	153.77881383895874
