Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	116.28394	32.50251	229.97421	76.63933	23.8503	0.022529049	0.23717566	0.78146213	-0.77348965	4000	8.964538e-08	3995.445	-0.024603132	-2304.1191	0.9189439	0.04674912	0.484	1.0	8.306766748428345
1	121.72877	40.723873	266.31003	76.72028	24.826086	28.178488	0.20490143	28.190027	17.514776	8000	1.8119811e-08	2057.3826	-0.01933067	-711.4199	0.9190327	0.026438346	0.4125	1.0	15.846944808959961
2	123.75536	37.11244	235.33113	72.16087	25.280254	43.519985	3.398374	43.834778	-38.516594	12000	-4.529953e-08	1319.031	-0.015865525	-302.38947	0.9190254	0.02080244	0.3215	1.0	23.33032202720642
3	129.88863	46.748646	317.47983	76.8969	26.223684	50.83634	7.095968	53.404415	-37.040688	16000	-2.6226044e-08	1387.9	-0.03251719	-709.1393	0.9190234	0.024456186	0.39025	2.0	31.030515670776367
4	132.73366	44.247604	322.11304	76.906425	26.952703	51.73583	19.622925	66.17415	-39.84477	20000	-4.053116e-08	722.74	-0.03343669	-317.59015	0.9189198	0.025380574	0.3275	2.0	38.57045078277588
5	146.3421	53.054924	332.83536	77.049866	29.614815	57.685173	23.324371	76.328835	-29.60576	24000	-5.00679e-08	827.13226	-0.031889874	-391.26285	0.91878647	0.025201278	0.35475	2.0	46.237523794174194
6	164.16803	69.85035	435.7454	76.94301	33.0	63.394627	26.26064	86.3414	-20.166342	28000	3.9339065e-09	1196.8817	-0.04184689	-614.1857	0.91860366	0.023090493	0.40125	3.0	54.2789843082428
7	175.53207	69.12063	390.34427	81.67328	35.150444	72.15439	30.365091	97.91107	-13.715564	32000	5.0544738e-08	999.1954	-0.030149193	-558.0425	0.91831785	0.01765929	0.273	2.0	62.63377809524536
8	185.93097	69.30632	437.69693	81.80017	37.04673	75.77256	33.607014	106.97466	-19.309671	36000	-7.867813e-09	1063.4819	-0.02541589	-678.6638	0.91817546	0.01866867	0.29675	2.0	70.99324011802673
9	204.39583	76.68231	376.16162	86.50957	40.8125	81.59225	35.234707	114.3207	-53.06686	40000	-8.106232e-09	1331.2262	-0.026279595	-874.43256	0.91805685	0.024884606	0.293	2.0	79.4205801486969
10	217.31015	82.73989	416.4717	77.24291	43.29348	88.41629	38.78329	123.68963	-59.800236	44000	1.4781952e-08	1368.2601	-0.026061924	-1002.4351	0.9179445	0.019258661	0.3115	2.0	87.79429745674133
11	255.55286	81.72446	496.83398	89.72852	51.03846	92.3633	39.365776	130.39877	-36.433853	48000	-2.7418137e-08	1601.0085	-0.021737933	-1242.4762	0.91783303	0.015235025	0.32075	2.0	96.65381574630737
12	266.71805	80.62311	476.14096	93.30039	52.8	101.684784	40.976017	138.58688	-31.542936	52000	3.695488e-08	1331.1531	-0.022594813	-1045.9629	0.91770786	0.019496704	0.31175	2.0	106.91360068321228
13	278.80713	77.11248	473.95068	92.71408	54.739727	100.69139	44.623993	145.6459	-19.220758	56000	4.053116e-09	1284.1296	-0.022281025	-1050.9998	0.9175542	0.021683227	0.3035	2.0	115.49193072319031
14	295.20752	70.778145	452.54462	127.839676	59.119404	108.84555	45.475388	151.98093	-20.227772	60000	1.001358e-08	1232.7782	-0.0183067	-1065.9849	0.9173901	0.019688897	0.29175	2.0	124.45462560653687
15	331.1703	80.004974	599.16907	160.18364	64.22951	106.76334	46.80855	157.2046	-32.49459	64000	1.001358e-08	1604.4338	-0.020016309	-1377.3387	0.9172087	0.019153267	0.27675	2.0	133.06937718391418
16	337.59207	90.05523	585.09235	97.95996	65.833336	120.53754	47.549995	165.19276	-9.472066	68000	1.9311905e-08	1382.2457	-0.019020628	-1178.5647	0.9170419	0.019527981	0.29575	2.0	142.03564047813416
17	333.96973	78.01746	586.7416	175.10564	64.03226	121.997	50.426834	171.20009	-21.731194	72000	7.510185e-09	1138.2378	-0.018806286	-994.8432	0.9168555	0.017202605	0.2715	2.0	151.11301922798157
18	338.3445	71.98154	545.3586	180.18938	65.2623	120.89143	50.443024	174.88707	-39.328915	76000	4.2915342e-09	980.82434	-0.01829334	-874.0197	0.9166742	0.021440396	0.287	2.0	159.7651286125183
19	342.12662	84.709206	691.4572	175.30235	67.067795	118.39866	52.037174	177.79308	-34.77034	80000	4.005432e-08	1119.7173	-0.019024516	-998.45337	0.9165062	0.02000771	0.297	2.0	168.3863787651062
