Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-219.21448	139.65746	-39.260048	-544.54706	115.76471	-0.09133757	0.05399766	0.06370749	-0.29069003	4000	-4.529953e-09	15819.734	-0.009622426	-936.8408	0.918941	0.0060317023	0.08075	79.0	6.6607842445373535
1	-182.1912	122.8838	8.691895	-370.59775	141.60715	-4.4859242	0.4712425	-0.2967372	-4.9413104	8000	4.479289e-08	9325.416	-0.0059235874	-508.70703	0.9255997	0.0061506033	0.0505	79.0	15.971327066421509
2	-183.36098	115.05961	7.965863	-439.325	118.63636	-8.317417	0.1571481	-6.2139597	-8.491433	12000	1.7523766e-08	9982.082	-0.008510825	-537.50684	0.9346166	0.008176565	0.06975	79.0	23.02013897895813
3	-127.53126	89.145035	61.982647	-300.35577	151.84616	-11.556008	0.40195483	-9.6515875	-11.742658	16000	1.1563301e-08	4047.4255	-0.0069193454	-145.25244	0.9304106	0.005816012	0.05325	79.0	33.6783401966095
4	-131.59772	77.707405	-13.232325	-409.96024	137.24138	-13.365115	0.44445252	-8.058215	-13.501229	20000	2.7418137e-08	4145.531	-0.0072517707	-213.45166	0.9228418	0.005144757	0.03775	79.0	40.98275899887085
5	-131.54353	64.27386	-14.9362335	-268.26483	153.46153	-15.568557	0.038698062	-14.753614	-15.60972	24000	-5.930662e-09	3116.958	-0.008769014	-173.12012	0.9258939	0.009338792	0.06225	79.0	48.79041075706482
6	-117.75462	81.255554	-10.315396	-320.22113	148.73077	-17.602835	0.035799507	-16.644215	-17.63622	28000	1.7881393e-09	2976.1453	-0.009585108	-115.887695	0.9295666	0.004878258	0.0575	79.0	57.12381863594055
7	-124.543976	95.912025	0.07681645	-318.9467	155.48	-19.321566	0.03825882	-18.384136	-19.34995	32000	4.2796135e-08	3963.8582	-0.008638827	-129.40039	0.9296817	0.0068484964	0.054	79.0	64.30696439743042
8	-84.69302	83.50394	21.55612	-284.53873	158.76	-21.151684	0.0707433	-19.377771	-21.182547	36000	-2.861023e-09	2319.3445	-0.009474156	-28.244629	0.9509138	0.0062446757	0.05625	79.0	72.02965259552002
9	-70.52546	59.089287	23.856918	-214.15764	163.33333	-22.02244	0.4320227	-15.896306	-22.1091	40000	1.192093e-10	1483.7004	-0.006912318	-28.090942	0.96402556	0.0042863283	0.07025	79.0	79.95868945121765
10	-59.21886	69.193954	48.55061	-308.74518	162.85	-21.969458	2.4081862	5.279147	-22.566942	44000	1.9311905e-08	1689.3232	-0.0057346704	-16.687744	0.9643243	0.0075919847	0.04975	79.0	89.60808324813843
11	-103.94759	127.16125	36.971935	-370.1622	214.33333	-22.5745	0.5754112	-15.817044	-22.76606	48000	-5.3644182e-09	4707.3877	-0.008510269	-70.867676	0.9673174	0.0055971625	0.06675	79.0	100.13879227638245
12	-52.05738	96.503716	66.98759	-269.123	301.46155	-23.868782	0.23585203	-21.298296	-23.966515	52000	1.7523766e-08	2080.4172	-0.008599736	-4.225342	0.9573172	0.008256129	0.07875	79.0	115.18065667152405
13	-98.59346	123.09682	20.966034	-357.22415	393.44446	-23.536951	0.57194036	-16.76568	-23.691452	56000	-4.172325e-09	2363.2998	-0.008456479	-26.773926	0.9729194	0.009265746	0.083	79.0	130.12622833251953
14	-79.50911	113.6504	20.512688	-379.88174	330.75	-23.312708	0.72656894	-7.0088654	-23.494228	60000	2.861023e-09	3090.2517	-0.010707216	-9.492676	0.9740443	0.012523793	0.109	79.0	142.61883449554443
15	-48.05986	94.34791	27.583456	-258.6218	418.125	-23.521006	0.26963508	-21.139881	-23.61316	64000	-9.6559525e-09	1529.9575	-0.009307595	-16.499023	0.98896956	0.009029919	0.0995	79.0	1759.4148488044739
16	7.8811812	32.7414	53.97442	-53.748615	392.75	-22.784899	0.17839476	-21.030529	-22.864267	68000	3.9577483e-08	1402.6495	-0.008069401	-75.64807	0.993719	0.007269302	0.07625	79.0	1776.476858139038
17	-15.035971	40.603966	21.227865	-110.5459	443.875	-21.083605	0.13952051	-18.102314	-21.14203	72000	2.157688e-08	1153.8447	-0.008307022	-41.28662	0.97816306	0.0031038679	0.08125	79.0	1794.0508613586426
18	3.0486648	34.905895	59.53743	-65.321175	330.25	-19.641638	0.41874814	-13.359124	-19.746307	76000	-3.159046e-08	1346.0533	-0.005986437	-25.197876	0.9631954	0.005142738	0.0565	79.0	1804.1170871257782
19	29.458605	38.64044	101.48843	-21.4831	588.5	-18.49807	0.43023783	-9.582304	-18.653238	80000	-4.4107438e-09	1009.8153	-0.0087353885	-58.914856	0.9494839	0.008157388	0.113	79.0	8365.682853221893
20	10.082196	78.46607	93.42767	-137.96948	545.7143	-16.78882	0.64680696	1.6489182	-17.051743	84000	2.861023e-09	1245.6132	-0.007961234	-42.793823	0.93125725	0.006496644	0.0915	79.0	8383.724041461945
21	-14.183024	81.15018	98.51763	-172.73958	447.85715	-15.367506	0.69876593	-8.273789	-15.718873	88000	-6.556511e-09	1505.5033	-0.011292405	-33.625244	0.92809254	0.011640951	0.11775	79.0	8398.609407186508
22	24.374195	54.80759	87.08447	-63.262253	796.25	-14.040356	1.8637693	5.2773504	-14.864317	92000	-2.7179718e-08	783.7208	-0.007940043	-333.1357	0.9406147	0.005239116	0.06575	79.0	8419.257702350616
23	-8.050707	95.24275	110.44138	-194.1308	618.0	-1.8268985	7.5425	12.331813	-10.691329	96000	4.887581e-09	1315.4874	-0.0117678	-203.0365	0.9320547	0.011283034	0.1185	79.0	8434.806549310684
24	-16.821482	90.40743	71.16292	-191.76918	615.1667	-2.8478944	12.193256	13.140017	-14.263045	100000	-4.7683715e-09	968.2234	-0.009441087	-79.04047	0.94173425	0.0074256347	0.0715	79.0	8450.489080667496
25	86.66844	62.944984	129.35637	-22.11552	1000.0	-5.3426895	9.9438095	13.402296	-14.264738	104000	-2.4676323e-08	353.87347	-0.007297517	-58.234833	0.9496487	0.0034341032	0.0465	79.0	8469.037541389465
26	89.88887	38.160145	144.98476	44.85923	1000.0	-1.3799961	10.366092	14.513409	-12.564026	108000	-2.6464463e-08	219.81969	-0.007840342	-16.571167	0.9423106	0.007952734	0.07525	79.0	8490.06189751625
27	32.216644	47.14145	67.26417	-60.8161	686.0	0.583751	11.924682	15.348766	-14.90292	112000	-1.0728836e-09	347.6964	-0.010571503	-20.093506	0.9153884	0.010082094	0.113	79.0	8507.83028459549
28	21.213507	100.60261	106.36553	-148.9352	858.75	3.4434304	9.481284	15.46762	-13.962888	116000	-2.2768974e-08	527.00336	-0.0051895906	-127.88257	0.89884686	0.003321269	0.04375	79.0	8531.313797473907
29	95.33932	21.574606	114.79637	62.493805	1000.0	-4.810816	11.958382	15.6697445	-16.159685	120000	3.0994416e-09	218.76077	-0.009489128	-58.78337	0.8826504	0.0055167037	0.075	79.0	8551.675456523895
30	26.525593	73.98912	91.26292	-106.08789	687.8	3.6187944	10.304096	16.218863	-7.770406	124000	1.8119811e-08	456.32965	-0.0032075208	-5.7178345	0.84727263	0.015252266	0.22575	12.0	8567.446980714798
31	37.577423	105.53174	132.94418	-137.54305	679.2	3.285922	9.753853	15.990769	-7.3754945	128000	-2.1457671e-09	597.9349	-0.0070749177	-18.071777	0.848292	0.006274952	0.07875	79.0	8589.090831518173
32	-10.690384	100.48775	187.53244	-126.36551	464.125	8.522558	9.020261	16.07854	-7.2788672	132000	-1.1861324e-08	1906.7307	-0.008269574	-164.70862	0.82255834	0.0054619117	0.07775	79.0	8603.285875797272
33	140.07869	49.99745	219.09099	94.32754	890.75	0.33160096	8.467365	13.554086	-6.357893	136000	5.9604646e-09	379.69965	-0.0073627513	-72.66226	0.83572316	0.0017570851	0.0555	79.0	8619.969527482986
34	25.766495	67.73196	129.6557	-66.04463	702.8	3.5329125	8.011051	14.939862	-7.606745	140000	5.9604643e-10	752.3043	-0.008023665	-18.050964	0.80879	0.0048383074	0.06175	79.0	8637.86115026474
35	114.94142	43.912773	156.14754	42.67469	1000.0	0.56184393	8.69124	15.132698	-5.964048	144000	2.4795533e-08	195.3558	-0.007327582	-23.29918	0.7879622	0.0036327012	0.04925	79.0	8656.215291976929
36	91.75992	78.488754	208.32617	-15.3491535	646.3333	5.1361375	8.92944	16.21125	-3.7578697	148000	-4.053116e-09	622.42773	-0.007933894	-20.00763	0.767303	0.007964167	0.065	79.0	8673.688099622726
37	54.455204	71.90087	151.12389	-24.922895	820.0	6.159164	7.5162807	16.468287	-2.9955785	152000	-7.1525574e-10	374.04245	-0.008278382	-18.295685	0.75291663	0.0106540555	0.10475	79.0	8689.855895519257
38	53.027863	67.4498	141.34416	-40.177635	816.0	2.8013053	9.644392	16.746733	-6.476339	156000	2.1457671e-09	323.41803	-0.0063719195	-38.966675	0.7485557	0.008934661	0.078	79.0	8705.916576623917
39	125.799576	23.818506	154.60188	96.80217	1000.0	3.778434	6.903446	16.9087	-4.4693246	160000	1.6033649e-08	192.51349	-0.0076561137	-21.648193	0.7307352	0.0039503444	0.0575	79.0	8722.861366510391
40	79.90436	81.266174	170.02562	-23.918787	699.6	7.193586	8.194305	17.759527	-3.2936118	164000	-1.192093e-10	526.6063	-0.006202849	-7.614319	0.6929297	0.0024125604	0.0375	79.0	8737.303401231766
41	140.16882	39.718353	174.62788	73.19297	1000.0	5.368046	7.5579886	18.011494	-3.3181689	168000	-3.039837e-08	161.46295	-0.007767606	-14.937622	0.6798877	0.0026964783	0.041	79.0	8751.457262992859
42	118.439186	84.87211	203.7647	-37.814075	778.0	8.203869	7.326171	18.981892	-2.4204843	172000	-4.7683715e-09	493.1564	-0.008512039	-43.70984	0.6619206	0.0015960668	0.0645	79.0	8765.82075047493
43	38.079895	105.192764	143.1222	-149.27228	764.8	9.42591	6.9236517	19.566154	-5.0755467	176000	1.7762185e-08	702.25836	-0.010550645	-201.6608	0.6527627	0.008939805	0.1105	79.0	8781.969860553741
44	105.46088	76.52129	155.7888	-26.624228	842.0	7.240376	7.347819	19.939732	-14.224816	180000	-3.0994416e-09	314.6168	-0.010700795	-86.00102	0.65208775	0.011602179	0.102	79.0	8797.248288869858
45	118.52034	46.853516	159.65813	39.59299	1000.0	1.3281748	13.310462	21.556278	-21.701256	184000	-4.529953e-09	163.19943	-0.0071369964	-28.341995	0.6622316	0.0072362404	0.05925	79.0	8814.314703464508
46	112.50982	18.014969	127.429726	82.893394	1000.0	3.7754917	10.764455	22.421558	-6.127596	188000	-2.3841857e-09	41.7827	-0.0059113265	-10.935783	0.64850634	0.00488962	0.06	79.0	8829.28662610054
47	169.48288	71.94791	286.3026	92.00393	995.0	7.63869	10.420218	22.842772	-3.8856065	192000	9.894371e-09	244.30647	-0.0061302297	-15.264618	0.6258462	0.008212537	0.08125	79.0	8846.284770488739
48	113.961754	65.56635	180.80939	17.222927	1000.0	8.563849	9.944314	23.932045	-12.604319	196000	-1.3351441e-08	107.7966	-0.006959486	-26.293678	0.5955929	0.0019725822	0.03825	79.0	8861.489177942276
49	122.704506	28.14773	153.82574	87.66555	958.75	4.2158613	11.033343	24.76372	-21.251163	200000	9.417534e-09	298.74426	-0.004751423	-56.114777	0.5867044	0.008152289	0.0635	79.0	8877.688138246536
50	75.83067	55.137398	115.21236	-19.32004	1000.0	8.653633	9.731121	25.040813	-3.7982004	204000	-1.9073487e-09	59.201916	-0.0042783017	-17.29338	0.570056	0.015730195	0.197	7.0	8896.185135126114
51	153.66913	70.588425	257.66977	84.20384	959.5	7.0691166	11.039202	25.20878	-3.3912609	208000	5.00679e-09	225.38838	-0.0018966582	-37.330276	0.5687273	0.015674291	0.2	7.0	8917.30859541893
52	58.06332	78.03844	118.90853	-76.009514	873.0	11.20225	9.098628	25.83283	-0.110858135	212000	-1.5497208e-09	355.7732	-0.009945963	-105.76988	0.5676376	0.006530787	0.048	79.0	8935.09226512909
53	104.22063	83.547775	232.17975	10.1314335	929.0	2.5465634	15.227599	26.280785	-24.209007	216000	1.4901161e-08	189.49454	-0.0055407025	-64.42289	0.58139664	0.005605927	0.07625	79.0	8956.1982152462
54	173.48029	79.23452	279.4507	60.967068	965.25	12.401524	8.62728	26.265097	-19.510452	220000	-2.9087067e-08	322.59448	-0.004599246	-31.059723	0.5596665	0.004230382	0.05225	79.0	8978.366866111755
55	99.2955	82.17307	197.65932	-11.536981	917.0	8.126941	10.02889	27.057644	-26.455315	224000	9.298325e-09	262.96732	-0.010780071	-61.67125	0.53690314	0.008877715	0.09425	79.0	8993.166990280151
56	157.45428	50.73671	216.75174	80.066635	765.0	8.054478	11.628353	27.434187	-9.879146	228000	-7.2717667e-09	315.6177	-0.0049745436	-39.225372	0.50781095	0.005710509	0.06425	79.0	9012.457733631134
57	129.99562	70.10486	245.09123	66.8968	875.75	18.23569	8.0164	28.213213	4.696332	232000	-2.18153e-08	240.6001	-0.0020126728	-101.70734	0.486858	0.016582556	0.17075	6.0	9031.626178741455
58	127.03898	94.29261	261.90436	0.075403795	721.4	11.944709	9.820007	28.152706	-5.806694	236000	-6.3180923e-09	524.6722	-0.006766777	-52.619507	0.4857745	0.0051629893	0.07525	79.0	9051.243087291718
59	81.96691	34.436546	121.250114	33.718197	1000.0	4.8750467	9.627226	26.749292	-7.2310414	240000	9.894371e-09	65.762985	-0.0053487057	-21.472424	0.46685055	0.005359978	0.0385	79.0	9070.911391496658
60	51.539906	94.57625	202.53795	-43.671806	829.0	5.8729725	11.840835	27.656399	-22.74586	244000	6.9141386e-09	380.7396	-0.0072233994	-73.70856	0.45571223	0.008484839	0.07175	79.0	9092.52643752098
61	172.56548	122.79527	262.48083	-96.57064	628.1667	10.851821	7.47054	26.173304	-14.123624	248000	-1.45435335e-08	799.7192	-0.0073899603	-192.74213	0.44401824	0.008855586	0.089	79.0	9109.58835196495
62	98.99011	95.6375	209.98024	-36.915306	545.8571	9.89067	17.267273	29.71568	-14.123418	252000	-6.7949295e-09	751.50494	-0.0036846919	-93.60199	0.43104842	0.0009272995	0.046	79.0	9129.57316660881
63	136.79431	66.03172	199.77919	41.684288	823.5	10.709195	13.781275	29.505814	-12.786356	256000	-1.1086464e-08	247.65012	-0.0058723846	-12.814468	0.4281838	0.008903395	0.06925	79.0	9146.107627153397
64	90.96849	67.22223	199.44516	17.170473	752.2	7.5273523	12.58002	29.137817	-14.533346	260000	-9.059906e-09	379.01913	-0.0076462873	-14.084534	0.39137667	0.0074500553	0.05975	79.0	9163.546244621277
65	122.735985	130.70094	233.89676	-136.76222	605.6667	15.13865	12.714005	29.71751	-13.327657	264000	6.556511e-09	581.79425	-0.004353834	-104.401	0.36489823	0.0031184568	0.0385	79.0	9177.50934958458
66	42.09637	101.69409	179.936	-78.71036	645.8333	8.776959	17.762276	30.282867	-16.524876	268000	2.7418137e-09	902.9329	-0.0063829888	-190.91516	0.36587527	0.0017507571	0.04475	79.0	9194.65068435669
67	178.60403	54.11096	211.489	71.81086	778.8	16.223867	5.6666217	26.986536	-4.8680143	272000	1.9073487e-09	458.13116	-0.0055787964	-41.097534	0.34614423	0.006894026	0.059	79.0	9211.82901096344
68	54.075603	112.22997	211.4745	-87.57515	542.8333	16.780985	6.7288465	28.763477	-3.5332503	276000	5.1259996e-09	1040.5697	-0.00526513	-86.60022	0.3288388	0.0026301972	0.07125	79.0	9229.160477638245
