Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-7.7921305	0.6498802	-7.057207	-8.657005	200.0	-0.03334155	0.0026734907	-0.027681798	-0.03942144	1000	-8.583069e-08	6.0029864	-0.0072822045	-5.1264186	0.91893834	0.0068804133	0.016	79.0	0.7634909152984619
1	-7.0062323	0.55566174	-6.5562525	-8.03264	200.0	-2.3579628	0.021648452	-2.30549	-2.399539	2000	-1.1301041e-07	0.5996434	-0.014159143	-0.43346703	0.8957647	0.0053722383	0.051	79.0	1.486769676208496
2	-6.7283096	0.18499203	-6.4360566	-6.964181	200.0	-3.0101128	0.026508706	-2.917196	-3.077288	3000	-1.809001e-08	0.11258125	-0.011803	-0.038531452	0.8707179	0.00080207875	0.005	79.0	2.19620418548584
3	-6.4065857	0.6065004	-5.344545	-7.0526733	200.0	-3.2085524	0.03437883	-3.1123455	-3.2779071	4000	5.0626694e-09	0.09922774	-0.013599656	-0.0004858747	0.8394679	0.0022817354	0.028	79.0	2.920389175415039
4	-5.874565	0.46912932	-5.319573	-6.7426896	200.0	-3.1872003	0.029817041	-3.0798633	-3.2647655	5000	2.4676323e-08	0.07380902	-0.010117652	-0.028543781	0.8142487	0.0007080397	0.006	79.0	3.6492197513580322
5	-5.654454	0.44192395	-4.842442	-6.15226	200.0	-3.023732	0.027697884	-2.9437933	-3.0841577	6000	1.2241304e-08	0.05491944	-0.01114309	-0.016842239	0.78809667	0.005103092	0.006	79.0	4.363493204116821
6	-5.3740373	0.39512023	-4.8580756	-5.8292236	200.0	-2.8918347	0.020783354	-2.8417444	-2.9286451	7000	-1.2740493e-08	0.06224409	-0.01082226	-0.0043862313	0.7611845	0.0009869062	0.006	79.0	5.079054832458496
7	-5.472118	0.3935193	-5.027006	-6.074866	200.0	-2.8286393	0.02333924	-2.7549438	-2.8642092	8000	2.6106834e-08	0.029025875	-0.012302104	-0.0012204684	0.73335004	0.004552686	0.013	79.0	5.78837513923645
8	-4.8070574	0.55199677	-4.1045113	-5.458518	200.0	-2.796926	0.015801633	-2.7482455	-2.8282573	9000	5.233288e-08	0.11660931	-0.009564423	-0.050150715	0.7047811	0.0009980206	0.004	79.0	6.5592522621154785
9	-4.607377	0.26412794	-4.1852174	-4.9713373	200.0	-2.5754824	0.012396259	-2.5400536	-2.5963326	10000	-2.0861625e-08	0.06319336	-0.0031414777	-0.02587707	0.680683	0.015446986	0.163	6.0	7.158352613449097
10	-4.766989	0.5287909	-4.060274	-5.6493883	200.0	-2.4207606	0.012271626	-2.3740778	-2.4518366	11000	5.0216915e-09	0.043157768	-0.0046116235	-0.0028885342	0.6789109	0.015987648	0.229	6.0	7.757298707962036
11	-4.7702804	0.48616573	-4.178967	-5.4047065	200.0	-2.362839	0.016349211	-2.3204808	-2.3929787	12000	2.8908254e-08	0.045711912	-0.011118466	-0.0002400279	0.6771518	0.005512895	0.015	79.0	8.525506734848022
12	-4.2787867	0.16921943	-3.9410145	-4.382368	200.0	-2.3550663	0.014484839	-2.307955	-2.3787777	13000	-1.7881394e-08	0.031813096	-0.009819978	-0.012297867	0.6532612	0.0016270417	0.013	79.0	9.248225212097168
13	-4.2524896	0.36816892	-3.9077654	-4.961206	200.0	-2.2438884	0.010601404	-2.207334	-2.264807	14000	1.6510487e-08	0.032031626	-0.009846181	-0.006287962	0.63049185	0.0015756702	0.011	79.0	9.965565204620361
14	-4.10682	0.5052618	-3.6330366	-4.841537	200.0	-2.1660035	0.007911814	-2.1440687	-2.1814303	15000	2.6941299e-08	0.052893583	-0.010991488	-0.008552987	0.60904145	0.00559981	0.016	79.0	10.72284483909607
15	-3.7130284	0.22252713	-3.4199994	-4.098033	200.0	-2.0719814	0.008282021	-2.0528953	-2.0860565	16000	-1.975894e-08	0.032578476	-0.010653983	-0.016838914	0.5869714	0.00036507225	0.003	79.0	11.486840009689331
16	-3.85083	0.53475034	-3.1546853	-4.693152	200.0	-1.9414382	0.007464921	-1.9203634	-1.9529313	17000	1.360476e-08	0.036726877	-0.012599688	-0.00014792383	0.5603536	0.0048802523	0.022	79.0	12.226004838943481
17	-3.3025994	0.3569292	-2.787683	-3.8982706	200.0	-1.9302595	0.00592347	-1.9047267	-1.9398928	18000	2.157688e-08	0.055339936	-0.010709024	-0.015132815	0.5336192	-0.00036196058	0.001	79.0	12.9465651512146
18	-3.305476	0.17744523	-3.1306841	-3.5414457	200.0	-1.8060015	0.0037360429	-1.7940326	-1.8131303	19000	7.718802e-09	0.015848758	-0.010730513	-0.0053415997	0.5066337	0.0014667112	0.002	79.0	13.675258159637451
19	-3.076049	0.19747604	-2.8786774	-3.326967	200.0	-1.7318964	0.0035749492	-1.7227826	-1.73797	20000	5.272031e-08	0.023965957	-0.010129047	-0.007732464	0.4797403	0.0035617414	0.012	79.0	14.412974119186401
20	-2.9899933	0.2641623	-2.639764	-3.3038712	200.0	-1.6424072	0.0050735767	-1.6236418	-1.6488804	21000	-8.523465e-09	0.03199736	-0.0102895	-0.0044525117	0.4578718	0.0016860112	0.004	79.0	15.150023460388184
21	-3.060822	0.34396893	-2.5792167	-3.6242173	200.0	-1.5745918	0.005506557	-1.5564128	-1.5814277	22000	6.6272916e-09	0.015274036	-0.012457194	-0.0004473906	0.4322014	0.005379304	0.015	79.0	15.860427618026733
22	-2.6125765	0.21724676	-2.357865	-2.9187272	200.0	-1.5543165	0.0048637344	-1.5407628	-1.5628375	23000	3.9756298e-08	0.033517253	-0.009438007	-0.015613457	0.40741408	0.0010356212	0.004	79.0	16.58323049545288
23	-2.4915214	0.14410721	-2.2794998	-2.7092035	200.0	-1.4271233	0.0040049166	-1.4146494	-1.4321201	24000	-2.503395e-08	0.020294948	-0.013706762	-0.008953433	0.38382936	0.00054999517	0.052	79.0	17.295559406280518
24	-2.3589263	0.18025666	-2.1218002	-2.6532817	200.0	-1.3315715	0.0023209753	-1.3233066	-1.335235	25000	-3.179908e-08	0.024634417	-0.009226923	-0.0071121324	0.36245447	0.0013849096	0.007	79.0	18.06893801689148
25	-2.2855346	0.11359941	-2.154656	-2.434803	200.0	-1.2461827	0.0015179211	-1.2413127	-1.248088	26000	-1.8298627e-08	0.0065823286	-0.0100161405	-0.0027689484	0.3400478	0.00016377372	0.0	79.0	18.788996934890747
26	-2.2519093	0.1709042	-1.9532434	-2.438516	200.0	-1.192186	0.0016914495	-1.1835972	-1.193772	27000	1.192093e-10	0.0072202752	-0.010585379	-0.00073531456	0.31491458	0.0026610848	0.01	79.0	19.542067289352417
