Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	11.978225	13.1165085	32.520687	-2.381412	1000.0	-0.16753723	0.07107057	0.07264591	-0.35797688	4000	-3.5762786e-09	87.95513	-0.018000962	-31.339622	0.918941	0.0087721255	0.14825	79.0	4.754587650299072
1	15.93898	8.793075	30.83583	8.050995	1000.0	-1.8970203	2.5792508	4.579223	-4.028009	8000	3.5762787e-10	46.913525	-0.0117365625	-15.339163	0.90334666	0.017235829	0.2385	9.0	8.740132570266724
2	15.921514	6.5696797	22.140108	4.8730736	1000.0	-1.0900629	1.8049363	6.878039	-5.476462	12000	2.0503998e-08	12.49241	-0.0047651776	-4.2486706	0.9028015	0.015685074	0.2395	8.0	13.837303161621094
3	18.860897	3.3726428	22.344856	15.393434	1000.0	-0.850971	1.5431328	7.1968265	-5.5009484	16000	5.00679e-09	7.1987267	-0.01125255	-1.5597339	0.9014298	0.001955238	0.0645	79.0	21.08113670349121
4	19.653786	5.4294915	24.074396	10.708062	1000.0	-1.0047094	2.0992851	8.56184	-3.910245	20000	1.9073487e-09	6.4762173	-0.007443861	-1.5809226	0.8761865	0.0056716306	0.0575	79.0	27.97351837158203
5	21.882423	4.0601625	25.62908	15.023171	1000.0	-0.22119714	2.209895	9.679128	-6.879264	24000	-1.0967255e-08	6.899805	-0.0073914146	-1.6937733	0.87489504	0.0018116572	0.03525	79.0	33.87269949913025
6	22.682152	3.1280982	27.54594	19.278025	1000.0	-0.9149272	2.423606	10.730028	-4.0072775	28000	-1.1920929e-09	5.307936	-0.007318287	-1.6742935	0.86155194	0.003926709	0.0485	79.0	41.5124990940094
7	20.215508	3.0393183	24.30204	16.10026	1000.0	-0.7548983	2.9522283	12.308347	-4.326612	32000	-3.3378602e-09	2.833993	-0.006703918	-0.60339403	0.86237186	0.0075926064	0.0895	79.0	48.78494215011597
8	21.371885	3.6841648	25.567902	17.012726	1000.0	-1.1859168	3.3563902	13.335567	-6.5417275	36000	1.2516975e-09	3.35565	-0.007859705	-0.6505194	0.8555836	0.0049438174	0.08175	79.0	55.41411471366882
9	21.848509	1.0498598	23.327084	20.601418	1000.0	-1.0542701	3.376509	14.13772	-4.589563	40000	7.390976e-09	3.2128692	-0.00459164	-0.7583418	0.8591009	0.01885306	0.23925	7.0	61.05274820327759
10	24.091682	1.9929075	26.608786	21.879347	1000.0	-0.9155455	3.912251	15.22443	-6.602259	44000	6.198883e-09	3.5001929	-0.009508853	-1.4739459	0.85935444	0.0071821488	0.08725	79.0	67.90506672859192
11	27.301037	2.571438	31.159489	23.917437	1000.0	0.16328643	3.6963894	15.972587	-6.024274	48000	-1.168251e-08	2.9689052	-0.009709907	-0.77139807	0.85436475	0.006330083	0.07275	79.0	74.49791216850281
12	27.767712	1.4393735	29.91829	26.099546	1000.0	-0.3752078	3.6943245	16.814062	-5.2290683	52000	0.0	3.4057105	-0.008867026	-1.0514083	0.8295797	0.005927198	0.05725	79.0	81.96279978752136
