Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-13.842832	6.94624	7.1039205	-24.324583	-0.19454606	1.3673389e-06	-0.19454485	-0.19454862	9.65	10.0	199	-0.51387376	0.17351954	0.15847924	-0.8537469	-0.5167299	0.1606889	0.04992634	-0.9378116	-1.3581957	0.21151942	-0.26091194	-4.781617	4.2818184	3.138778	47.50020360946655
2	-13.818021	5.001373	-3.68882	-24.403801	-0.16623232	1.7042851e-06	-0.16623016	-0.16623662	10.0	10.0	399	-0.6545353	0.11156323	-0.40316153	-1.044646	-0.65395206	0.10554799	-0.4433863	-1.0092945	-1.3564464	0.17067379	-0.88347745	-4.0804405	5.3167243	2.4791102	119.5769293308258
3	-14.119313	4.5699224	-5.929936	-22.676771	-0.22736017	5.0078834e-06	-0.2273565	-0.2273741	10.0	10.0	599	-0.8639852	0.13462193	-0.62731826	-1.2369821	-0.86406595	0.13150807	-0.63236344	-1.2279329	-1.3618094	0.18638705	-0.98751783	-5.2609253	7.3888335	2.523712	190.38652348518372
4	-13.209698	6.0074735	5.7699947	-22.690792	-0.17661367	2.3552745e-06	-0.17661203	-0.17661917	9.857142	10.0	799	-1.0020798	0.09698008	-0.67238957	-1.2401906	-1.0020571	0.09205781	-0.67324394	-1.2217466	-1.3581114	0.17020299	-0.9932573	-4.5269976	8.725263	2.532179	260.38418221473694
5	-11.84795	3.589704	-5.068583	-20.839352	-0.16279823	1.6182482e-06	-0.16279714	-0.16280265	10.0	10.0	999	-1.0785037	0.12688722	-0.8277633	-1.4185731	-1.0781556	0.1256646	-0.8248057	-1.4172328	-1.359501	0.1781076	-0.9893112	-5.218483	9.461305	2.3831894	329.36606764793396
6	-13.072409	4.4135237	-6.996824	-22.918486	-0.16347781	3.0012247e-06	-0.16347556	-0.16348594	10.0	10.0	1199	-1.1010578	0.08049765	-0.89250493	-1.3530014	-1.1005274	0.080270804	-0.8800553	-1.3569854	-1.3554766	0.17433576	-1.035759	-4.025114	9.6984415	2.0400186	398.80512142181396
7	-13.90951	3.847531	-5.898326	-20.367434	-0.20759742	1.8610351e-06	-0.20759529	-0.2076016	10.0	10.0	1399	-1.1590567	0.07167135	-0.94623405	-1.3340445	-1.1588007	0.07098559	-0.94471604	-1.3407837	-1.3600928	0.1792054	-1.0275486	-5.3363304	10.257768	2.1256833	467.84502124786377
8	-14.9275055	4.473655	-8.862655	-26.881735	-0.18402271	1.1004385e-06	-0.18402092	-0.18402451	10.0	10.0	1599	-1.1885922	0.0996892	-0.9396733	-1.4923518	-1.1881537	0.09952747	-0.9463489	-1.4977925	-1.3590143	0.17554128	-1.0992713	-4.2930727	10.557774	2.1286228	537.332293510437
9	-14.568405	4.1181316	-7.5464478	-24.20943	-0.19393961	5.676932e-07	-0.19393894	-0.19394107	10.0	10.0	1799	-1.245975	0.108775675	-0.99857557	-1.5524081	-1.2454864	0.10763063	-0.99856853	-1.5536723	-1.356297	0.18765533	-1.0542207	-6.1794124	11.1247635	2.0902176	607.2140171527863
10	-13.8337145	3.917008	-4.910732	-22.972435	-0.19702485	6.626076e-07	-0.19702391	-0.19702621	10.0	10.0	1999	-1.2833078	0.09711798	-1.0650444	-1.5517108	-1.2829684	0.09710337	-1.0620613	-1.5567874	-1.3585151	0.17989448	-1.1043698	-6.009494	11.479985	2.2001898	676.9874165058136
11	-13.264071	8.528558	9.832544	-34.92077	-0.20549302	1.4087942e-06	-0.20549129	-0.20549498	9.523809	10.0	2199	-1.3307514	0.092192665	-1.0985255	-1.5635641	-1.330247	0.09199159	-1.092903	-1.5632731	-1.3556424	0.17644732	-1.0793548	-4.5019383	11.971474	2.1671958	746.4134814739227
12	-12.257818	2.9507012	-7.7710304	-19.236176	-0.18533662	6.695249e-07	-0.18533553	-0.18533802	10.0	10.0	2399	-1.3377451	0.08696806	-1.14309	-1.5614696	-1.337534	0.08590993	-1.1426029	-1.5654733	-1.3567516	0.1789564	-1.1049163	-5.8977523	12.043249	2.2019634	816.0740592479706
13	-13.311167	5.801898	-4.4398236	-28.746336	-0.17614563	4.4231606e-07	-0.17614529	-0.17614672	10.0	10.0	2599	-1.3294297	0.08609702	-1.0891548	-1.542722	-1.329175	0.08408595	-1.0998769	-1.5395359	-1.3582718	0.16893178	-1.0983825	-4.4230914	11.967712	2.1137435	884.6298451423645
14	-11.716487	6.227516	7.4421086	-23.860996	-0.19023113	8.2602713e-07	-0.19023015	-0.19023289	9.65	10.0	2799	-1.3486857	0.095032275	-1.1254982	-1.6204609	-1.3479744	0.09216179	-1.1286763	-1.6167772	-1.3576138	0.18034153	-1.060992	-5.1414576	12.176963	2.1793714	954.5618197917938
15	-12.630835	4.7588124	3.6051083	-19.305872	-0.15999243	2.3328766e-07	-0.15999196	-0.15999275	9.809524	10.0	2999	-1.3320905	0.088197574	-1.1081232	-1.6016692	-1.3324099	0.08540231	-1.1166779	-1.6031355	-1.3579248	0.17384045	-1.0760777	-5.3216786	12.002866	2.151357	1025.1112167835236
16	-14.022354	5.693964	-5.7076826	-28.08302	-0.18166116	3.5582275e-07	-0.1816607	-0.18166171	10.0	10.0	3199	-1.3312553	0.055970497	-1.181678	-1.4842045	-1.3311116	0.053909842	-1.1873658	-1.487146	-1.358205	0.1747081	-1.1589484	-4.1599216	11.987347	2.1724057	1095.7065041065216
17	-12.152736	6.715675	6.601916	-22.774614	-0.1769791	6.1125644e-07	-0.1769782	-0.17697991	9.9	10.0	3399	-1.3368273	0.060329378	-1.1926792	-1.5149692	-1.3369621	0.056488685	-1.1948768	-1.5122888	-1.3601828	0.1727456	-1.1254463	-4.5246973	12.045627	2.272369	1165.8410341739655
18	-12.031268	5.076325	2.7438178	-23.159304	-0.1853681	3.6176388e-07	-0.18536744	-0.18536858	9.8	10.0	3599	-1.318725	0.08421782	-1.10528	-1.5381566	-1.3185034	0.07920939	-1.1071072	-1.5248218	-1.3590131	0.16720721	-1.0728098	-5.3586283	11.899367	2.166429	1234.764921426773
19	-14.463469	5.9209795	-3.6763482	-27.228582	-0.18924174	4.202286e-07	-0.18924111	-0.18924266	10.0	10.0	3799	-1.3279587	0.089709416	-1.1122408	-1.5258085	-1.3282536	0.08568623	-1.1212137	-1.5335312	-1.3600748	0.17607573	-1.0982195	-6.2029266	12.003737	2.1353478	1304.6272876262665
20	-11.8300905	4.132232	-6.0040545	-20.512648	-0.17335704	3.8988682e-07	-0.17335652	-0.17335783	10.0	10.0	3999	-1.2972965	0.075196505	-1.0939159	-1.4785491	-1.2962526	0.07620989	-1.087627	-1.4835998	-1.3597114	0.17947498	-1.138561	-5.5292444	11.674927	2.1769786	1372.2748329639435
21	-12.891542	5.631178	-6.340034	-24.7878	-0.18462709	1.3454646e-05	-0.18461916	-0.18465652	10.0	10.0	4199	-1.3006533	0.063496865	-1.1206639	-1.4915655	-1.3016354	0.059767954	-1.1485088	-1.4964784	-1.3614428	0.17727341	-1.0791508	-6.7070465	11.710463	2.1644208	1442.8362078666687
22	-12.338305	3.628517	-5.2369766	-17.218754	-0.17131844	3.0065403e-05	-0.17130017	-0.17137793	10.0	10.0	4399	-1.2823951	0.061158247	-1.0883757	-1.4604276	-1.282052	0.055031087	-1.1047795	-1.4388791	-1.3614774	0.17757836	-1.1305351	-4.9508677	11.535942	2.05278	1511.13352394104
23	-13.753832	4.4432144	-7.5341268	-26.161179	-0.18940875	5.905184e-06	-0.1894052	-0.18942574	10.0	10.0	4599	-1.2778937	0.074693225	-1.0667367	-1.4481317	-1.2774246	0.069527626	-1.0892413	-1.44965	-1.3628143	0.17059408	-1.1152139	-4.9511166	11.508759	2.0574996	1578.4988639354706
24	-13.41786	4.276672	-8.486484	-25.34852	-0.17120363	1.4470385e-05	-0.17118672	-0.17122957	10.0	10.0	4799	-1.2687095	0.06364558	-1.1076854	-1.4130853	-1.2698585	0.062822625	-1.1257931	-1.4054769	-1.3593061	0.17284665	-1.0870371	-4.716634	11.390338	2.2128077	1647.5042915344238
25	-13.33093	5.885104	-4.349953	-28.356665	-0.1806813	6.464695e-06	-0.18067461	-0.18069558	10.0	10.0	4999	-1.2610681	0.07811655	-1.0737942	-1.5000172	-1.2611735	0.0706113	-1.1001925	-1.4811919	-1.3625202	0.17224076	-1.1158998	-5.5415626	11.380632	2.1921568	1714.9441485404968
26	-12.756166	5.0907793	-4.32594	-26.378216	-0.18110445	9.484627e-06	-0.18109472	-0.1811186	10.0	10.0	5199	-1.2800393	0.087847814	-1.0631827	-1.489989	-1.2813576	0.07451279	-1.0754529	-1.4498523	-1.3627198	0.17573828	-1.0999105	-5.3561687	11.570249	2.064304	1783.9270629882812
27	-13.888232	6.031381	-5.5980077	-29.73305	-0.16719028	2.0960113e-06	-0.16718851	-0.16719513	10.0	10.0	5399	-1.2670016	0.06706405	-1.0662365	-1.4678171	-1.2670269	0.0638187	-1.0905479	-1.4528823	-1.3619566	0.17843829	-1.1090155	-5.539203	11.381819	2.026826	1852.0210690498352
28	-12.869695	4.7790465	-5.2036796	-21.17272	-0.18719633	1.7006919e-06	-0.18719538	-0.18720017	10.0	10.0	5599	-1.2713383	0.07978726	-1.0544286	-1.4953376	-1.2720047	0.06907282	-1.1012036	-1.4497049	-1.3595253	0.17091747	-1.097501	-4.267463	11.476416	2.030326	1921.508617401123
29	-14.791666	4.752213	-5.40445	-25.209324	-0.19302393	4.649783e-07	-0.19302376	-0.1930253	10.0	10.0	5799	-1.2849449	0.074152544	-1.1002843	-1.4923964	-1.2852588	0.06394085	-1.135463	-1.4664018	-1.3620826	0.17427993	-1.1259029	-5.0633917	11.580596	2.139199	1989.7368676662445
30	-13.828964	4.653995	-5.9685173	-23.65108	-0.16671816	8.648156e-06	-0.16671526	-0.1667441	9.95	10.0	5999	-1.2616358	0.0812577	-1.0491511	-1.4430921	-1.2629397	0.072078325	-1.0586557	-1.4284792	-1.3618069	0.16523077	-1.0972326	-5.161385	11.358647	1.9808878	2057.487930059433
31	-13.243765	5.4818215	-5.87329	-25.745386	-0.16636893	1.4901161e-08	-0.16636892	-0.16636895	10.0	10.0	6199	-1.271694	0.0669569	-1.1054631	-1.4312412	-1.2712079	0.060174104	-1.1155738	-1.4095663	-1.3618617	0.1727486	-1.1503739	-4.502568	11.433013	2.1417937	2125.4722089767456
32	-14.266939	8.752034	9.995793	-33.329655	-0.17762569	1.4901161e-08	-0.1776257	-0.1776257	9.571428	10.0	6399	-1.2705035	0.07582625	-1.0844017	-1.4483571	-1.2712181	0.07132089	-1.1020181	-1.4304903	-1.3596971	0.1688935	-1.1383481	-5.7360783	11.414228	2.0927923	2192.7080278396606
33	-13.8752165	5.192293	-4.574444	-25.46226	-0.16355976	9.424322e-09	-0.16355976	-0.1635598	10.0	10.0	6599	-1.2770886	0.062783524	-1.1002848	-1.4351488	-1.2780336	0.05406681	-1.11773	-1.4053357	-1.3623017	0.16699372	-1.1124468	-4.579794	11.488526	2.076865	2260.358781337738
34	-13.371226	4.736282	-6.1293087	-24.313822	-0.16517486	9.388914e-08	-0.1651747	-0.16517504	10.0	10.0	6799	-1.2939733	0.052825864	-1.1543747	-1.4214633	-1.2935531	0.051694185	-1.1639264	-1.4261259	-1.3608037	0.16727763	-1.1023202	-4.547358	11.618261	2.2014496	2328.3820021152496
35	-13.533186	4.8141007	-7.6202607	-20.788527	-0.17589206	8.890887e-08	-0.175892	-0.17589232	10.0	10.0	6999	-1.3120546	0.051003274	-1.1988894	-1.485757	-1.3130969	0.046239883	-1.206422	-1.467925	-1.361564	0.16539954	-1.1240256	-4.492959	11.805904	2.2174792	2397.66783452034
36	-15.723547	5.1176047	-8.477279	-24.644344	-0.18883467	2.7476384e-08	-0.18883465	-0.18883474	10.0	10.0	7199	-1.2962	0.06215878	-1.1364696	-1.4393775	-1.2962427	0.057747617	-1.1620079	-1.435748	-1.3623768	0.17472059	-1.1342857	-4.631855	11.669171	2.150021	2467.7215054035187
37	-15.26122	5.929778	-6.598465	-25.980675	-0.18169156	1.4901161e-08	-0.18169157	-0.18169157	10.0	10.0	7399	-1.3379123	0.05103768	-1.2005893	-1.5019377	-1.3372949	0.04878703	-1.2120872	-1.4921832	-1.3619255	0.17164329	-1.138066	-5.454306	12.061398	2.2298548	2535.9604732990265
