Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-70.17744	116.13149	18.355972	-345.74448	-107.81112	126.255646	0.7148317	-421.67978	228.41176	327.9	3999	-0.14325505	1.5975361	12.178953	-8.875264	-0.14278063	1.597332	11.770681	-9.138581	-0.6979323	0.23612666	163.74619245529175
2	-24.525183	57.346874	32.37923	-349.93033	190.82452	297.92157	596.5961	-183.15375	74.97727	613.2	7999	3.9344957	4.020187	29.061142	-15.663207	3.9344296	4.020952	28.436716	-13.842527	-6.0871086	1.3191904	377.9523940086365
3	-122.71276	196.64485	11.620637	-686.2091	199.20259	334.48004	764.67285	-495.1031	285.0	805.2	11999	10.344843	5.8920465	42.154945	-14.890891	10.344892	5.897011	40.902668	-16.297924	-13.401194	3.5013857	586.2041199207306
4	41.947506	162.86078	372.4996	-139.54048	266.15643	207.94386	565.3463	-2.389487	731.5	633.9	15999	13.252205	7.4915266	46.27344	-16.962507	13.252937	7.5004916	46.58253	-16.547478	-16.081062	3.8069136	811.8361926078796
5	118.67543	154.52377	415.80783	-64.4948	141.70488	231.16687	758.02344	-144.22844	407.5	494.6	19999	13.929604	8.754199	48.1578	-23.892967	13.929204	8.75749	49.22975	-22.999647	-16.323841	3.694327	1020.0304269790649
6	66.220825	101.73411	420.0952	-10.6469345	269.25034	256.28748	759.59094	8.690372	163.8	396.4	23999	14.689556	9.157945	50.089176	-22.12796	14.689511	9.161937	48.047523	-23.007868	-16.829842	4.30475	1221.6191399097443
7	247.98044	147.44267	508.7531	29.439503	424.06967	273.08847	768.7255	43.86972	459.55554	662.5	27999	14.839366	9.15834	47.588257	-16.257828	14.838894	9.161427	47.58909	-17.07948	-16.823803	3.6011553	1431.690011024475
8	589.7162	188.50383	767.6717	242.47801	333.1084	269.45422	791.9107	47.39472	865.8	615.6	31999	16.025732	9.428232	47.301277	-14.322459	16.02582	9.429537	46.33263	-14.557473	-17.857674	3.377931	1642.5644209384918
9	420.35645	284.0064	738.9359	29.51889	539.05023	249.1982	745.35046	54.81309	606.1429	779.4	35999	17.201984	9.745131	48.707596	-14.080516	17.201294	9.746344	50.031166	-15.546001	-19.003384	3.351274	1776.1904397010803
10	419.34482	197.15297	700.4174	226.93239	503.16202	306.2936	866.30585	25.63647	727.6	613.0	39999	18.4132	9.960675	50.25852	-15.359336	18.412312	9.961445	51.265472	-15.048013	-20.160183	3.2380624	1848.0229425430298
