Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-88.71629	28.267616	-48.36007	-118.28418	-113.67085	1.455616	-113.18192	-118.03769	424.25	86.5	3999	0.26722077	3.3534665	3.7148626	-105.46276	0.2628573	3.3486168	4.134872	-104.46334	-0.77914447	11.904478	53.418532609939575
2	-86.99512	28.46278	-47.901337	-120.08003	-124.44973	6.8815303	-119.006386	-137.22765	449.0	74.7	7999	1.2549018	3.5026224	8.645127	-120.21364	1.2524596	3.6641483	7.5126743	-119.256584	-2.0970578	6.7908974	116.64092922210693
3	-112.59365	21.760237	-45.139915	-132.97389	-104.354996	8.246976	-95.33705	-115.52972	196.25	649.1	11999	3.6359673	5.641667	17.090298	-124.41341	3.637248	5.6463685	15.005729	-127.688965	-4.7587147	7.56182	188.0723316669464
4	-114.690636	18.290796	-100.92624	-190.0969	-111.80801	0.2308678	-111.4625	-112.058876	171.25	69.6	15999	1.9499002	12.679279	18.631838	-128.86519	1.9533074	12.659304	18.416586	-129.19635	-2.9227066	5.3438134	252.0381851196289
5	-109.66108	10.327051	-93.08775	-143.90123	-113.39463	0.08151966	-113.32574	-113.58322	261.66666	1000.0	19999	-0.28526893	17.538507	13.634382	-128.3836	-0.28601274	17.546131	14.0160475	-129.2166	-0.39500606	4.622373	326.7883515357971
6	-113.35836	12.7562895	-98.69697	-133.55574	-118.205246	1.6214458	-113.58098	-119.238144	665.0	145.3	23999	-2.4764235	20.991829	12.779706	-130.98022	-2.4761865	20.989897	14.754013	-133.96747	1.7396326	3.077968	393.95291113853455
7	-109.7965	3.1510086	-104.98213	-114.28983	-107.09694	10.157063	-91.7134	-125.531296	700.0	847.2	27999	-3.9188309	21.435911	14.825003	-129.72028	-3.9197576	21.437536	14.570508	-128.73131	3.2478583	2.8040063	468.40559673309326
8	-110.880005	18.12022	-75.85263	-141.8828	-74.72222	0.9536961	-72.95661	-76.08708	467.125	1000.0	31999	-5.845047	21.65971	16.941181	-133.8132	-5.845287	21.659445	16.574348	-139.32364	5.4124374	2.3696637	543.4372265338898
9	-92.52052	13.968238	-83.750175	-120.298874	-91.17405	1.5807221	-88.3368	-93.03653	811.6	1000.0	35999	-7.254833	21.85422	17.129562	-132.39084	-7.254677	21.854586	16.915926	-131.77837	6.650453	2.3777485	617.3120889663696
10	-89.521965	15.0055275	-69.162285	-109.840416	-72.55355	6.19271	-60.578728	-78.42602	1000.0	1000.0	39999	-6.9100375	21.814312	16.784405	-122.352516	-6.9095726	21.813633	15.968534	-123.11205	6.180925	2.5209444	694.5891885757446
11	-83.894844	9.55252	-67.86266	-92.18517	-80.56863	3.0583959	-77.44289	-85.92572	1000.0	1000.0	43999	-6.505962	21.51201	14.214994	-122.35166	-6.5056844	21.511852	13.729225	-121.73508	5.974624	2.5791347	772.6176559925079
12	-87.25678	2.1580281	-84.89262	-89.9958	-88.41609	0.56958544	-87.59032	-89.4524	1000.0	1000.0	47999	-7.1773124	21.10071	11.44425	-121.96786	-7.1768055	21.098656	11.567793	-121.815994	6.7801385	2.5780933	854.682644367218
13	-88.45405	3.9027004	-81.84502	-91.70632	-81.26039	1.1720845	-79.54327	-83.52451	1000.0	1000.0	51999	-7.8161645	20.451662	9.774833	-123.30672	-7.8160644	20.45181	9.805809	-124.352066	7.3322988	2.645191	936.2950303554535
14	-91.50922	7.004961	-79.558815	-96.71501	-91.67857	4.2541246	-82.98667	-95.501854	1000.0	1000.0	55999	-8.244229	19.672197	8.949515	-128.63748	-8.244333	19.674482	9.2438965	-130.09422	7.7142	2.4877205	1019.2958493232727
