Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	126.92913	41.55863	359.0536	78.65096	71.4533	1.4190946	75.6982	70.82319	25.265823	15.1	3999	19.6166	9.178262	40.999607	-5.28432	19.616629	9.177359	40.782516	-3.649666	-19.960787	1.8836399	38.23293852806091
2	125.50027	37.36584	246.59335	78.617035	197.84265	13.426052	215.53369	171.24782	24.975	45.6	7999	43.682465	16.488716	77.12542	-6.7548876	43.68315	16.482298	77.70302	-5.0620337	-44.128944	5.282041	92.29688954353333
3	154.22006	51.27254	272.52936	83.09484	206.35144	9.006481	223.49374	190.8915	32.577236	47.5	11999	52.427105	24.245535	92.54247	-7.881821	52.42708	24.236591	93.82875	-7.6624413	-51.951447	13.362132	148.65015935897827
4	204.56445	10.993279	233.22755	180.62355	199.7394	14.726413	227.56201	179.71416	46.279068	45.8	15999	52.560535	22.875599	98.35987	-3.055309	52.56091	22.87087	101.25784	-5.062566	-52.91074	10.63761	206.94439578056335
5	204.59381	11.63964	228.91113	179.75356	196.36386	7.500364	208.87874	187.86096	46.206898	45.2	19999	61.25167	27.232994	119.48397	-8.002174	61.25197	27.231077	118.76908	-4.5041223	-62.40729	8.911973	265.76354241371155
6	204.23558	10.227651	235.171	183.58078	198.34378	7.723564	206.81613	183.54883	46.2907	45.5	23999	67.5657	32.059185	144.74954	-5.7264752	67.56576	32.05576	144.81102	-5.458836	-69.021866	10.548955	325.65897154808044
7	203.73872	11.196068	235.574	177.86667	203.15356	9.43542	217.39108	190.32062	46.04598	46.6	27999	69.73298	34.087246	151.25427	-6.8279366	69.73354	34.084362	157.33665	-11.274098	-70.98353	11.454631	384.4022421836853
8	201.49747	10.115428	231.13092	182.20197	198.97322	10.644853	213.64676	181.97064	45.67816	45.8	31999	69.94844	34.33242	160.757	-2.577391	69.948616	34.331078	161.9932	-10.917523	-71.145454	10.517088	443.83244013786316
9	205.12405	10.892923	236.84705	182.63495	208.08545	9.8534	226.41902	190.27599	46.356323	47.8	35999	69.613235	34.137405	154.42009	-5.258183	69.613205	34.13623	155.86441	-4.844445	-70.62506	9.462123	503.86559677124023
10	205.10464	12.086491	229.95988	178.94536	194.68582	8.499264	207.39851	181.3391	46.32558	44.7	39999	69.7386	34.11642	149.6046	-5.0898194	69.73849	34.115253	158.68684	-4.392541	-70.591095	8.526054	564.0380387306213
