Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-9.46159	2.7993057	-4.8024554	-11.8885	31.505112	2.7181752	39.409332	29.180285	1000.0	1000.0	3999	1.3187973	1.8751554	12.122844	-2.5449407	1.3190482	1.8744057	12.1284075	-2.442735	-2.1083612	0.11389993	51.920342206954956
2	-4.580446	7.2575364	4.773741	-12.875359	26.25445	1.110936	27.796728	24.549686	1000.0	1000.0	7999	11.654134	5.7622156	39.568146	-0.995047	11.653948	5.762417	39.214485	-1.4842137	-13.668435	0.52370065	120.82526016235352
3	9.922716	13.59705	23.646025	-3.9739337	14.598391	3.2810388	23.377338	11.514749	1000.0	1000.0	11999	31.13638	8.063228	61.277702	9.675758	31.135405	8.069388	61.02237	10.361603	-33.714813	0.93242556	185.03735303878784
4	15.590256	7.1308184	26.797192	7.4029937	13.958315	1.6193963	16.401665	10.957869	1000.0	1000.0	15999	48.246094	7.1053667	76.03453	27.309591	48.246456	7.1107097	73.224686	26.72051	-49.83824	0.9237212	251.0316104888916
5	20.885788	1.4099423	22.945261	19.027157	17.068024	2.0573382	20.809937	12.981604	1000.0	1000.0	19999	52.34853	8.8320265	94.465416	24.498653	52.34865	8.836229	91.90199	24.502554	-53.110287	0.6776839	318.02821803092957
6	2.0073726	16.72576	20.891737	-14.976048	-13.362178	2.0287306	-10.459022	-15.599982	1000.0	1000.0	23999	52.521374	10.341398	94.755165	22.373537	52.52126	10.342334	91.55473	22.370546	-53.494995	0.51611465	383.35296511650085
7	-5.969387	7.241529	6.353844	-12.228386	-7.706095	1.0861611	-5.9315267	-9.587258	1000.0	1000.0	27999	61.355526	9.701968	104.81146	34.593758	61.35544	9.6988325	105.46619	34.5393	-62.158783	0.3402939	449.9731843471527
8	10.151131	15.844649	35.396458	-6.3462853	10.772866	0.66334033	12.068143	9.838104	1000.0	1000.0	31999	65.13341	13.320286	104.52343	33.771034	65.133415	13.319692	104.015305	33.545185	-65.554535	0.3077982	518.0914249420166
9	5.2155557	7.792374	14.492419	-5.6051774	-3.7854934	6.829339	10.771505	-9.561064	1000.0	1000.0	35999	65.22724	12.9075165	99.795204	23.948221	65.227585	12.907935	100.83639	24.359423	-65.58137	0.3477266	584.5173375606537
10	9.906522	6.6331534	20.910751	3.6150312	14.659103	1.0759274	16.702557	12.798098	1000.0	1000.0	39999	62.345615	13.188757	96.805374	11.385291	62.34539	13.1897	97.165054	11.376334	-62.580822	0.3985909	648.4083158969879
