Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-94.86046	24.881083	-43.95518	-118.97597	-125.81966	39.38003	-59.72867	-185.72682	269.14285	652.0	3999	1.1497761	3.306637	11.3910475	-129.09499	1.1495554	3.2963085	10.901697	-123.23809	10.961625	6.9359202	85.36644	-9.913858	-1.5349317	7.4567943	216.7591576576233
2	-88.45883	24.069426	-42.914246	-117.621	-114.59265	0.14081259	-114.2996	-114.718414	329.63635	1000.0	7999	6.481823	6.8637877	30.315086	-132.2577	6.4809914	6.8601217	31.84505	-137.34601	12.166343	7.005406	74.14994	-9.947961	-7.246862	6.556784	488.6840994358063
3	-96.7743	22.785439	-49.541313	-119.668175	-105.43636	1.4212853	-104.29284	-108.4752	418.63635	71.6	11999	22.416927	11.482826	58.618286	-147.32642	22.420082	11.450987	56.190224	-137.11131	20.30668	8.991336	139.93855	-5.5887785	-23.814505	6.846993	743.5176725387573
4	-103.32952	3.1812027	-99.6104	-118.03798	-106.89419	1.3314413	-105.39004	-108.64901	57.97059	79.5	15999	30.343878	19.37687	59.695053	-474.07376	30.342054	19.365295	61.06372	-467.67102	12.480103	8.030513	157.46889	-8.753915	-31.051565	14.937288	1000.5537803173065
5	-106.42485	6.062752	-100.28905	-127.38645	-91.23491	5.3403625	-85.33645	-101.985985	106.4054	816.4	19999	23.353374	35.711037	60.532864	-242.71196	23.352358	35.710953	60.936996	-255.58252	12.983813	8.589775	266.7241	-7.8201666	-24.215578	5.953866	1258.2787730693817
6	-112.296974	27.182705	-50.585854	-157.77258	-102.66289	0.77035356	-101.47505	-103.24113	323.81818	58.7	23999	20.884079	43.8906	68.66865	-365.62405	20.883163	43.888157	69.199646	-254.35565	10.822107	6.181579	159.92181	-8.152219	-21.73186	7.8021154	1512.95286154747
7	-89.39856	27.60644	-30.237415	-136.80287	-98.68528	11.595963	-77.70924	-114.68988	350.0	277.1	27999	20.030117	43.83341	56.5295	-264.96988	20.029026	43.832237	55.816425	-265.67426	9.581336	5.3455706	160.99391	-10.932954	-20.77141	9.09546	1826.6324110031128
8	-108.03456	35.371796	-48.43061	-158.49168	-139.87938	25.260698	-64.82003	-153.79352	592.2857	414.6	31999	18.69703	42.58034	54.534348	-141.5224	18.696539	42.58087	55.050026	-140.51062	10.762057	5.8159184	191.90128	-9.46633	-19.354105	8.054258	2104.9105060100555
9	-127.31489	45.838135	-80.379425	-189.8128	-107.52435	5.44086	-100.00081	-115.90814	830.0	124.8	35999	18.441973	39.34981	52.0342	-127.90058	18.441187	39.348896	50.87073	-132.37941	10.671681	5.661079	196.07742	-8.542869	-19.1182	9.668885	2377.78005027771
10	-73.44436	13.21533	-55.415253	-92.169945	-86.695564	18.152004	-76.25652	-138.21135	1000.0	912.6	39999	19.737776	36.40552	47.929905	-131.48245	19.7374	36.404945	47.534927	-134.14835	10.961955	5.857012	213.55055	-7.9226346	-20.42893	7.944112	2656.1886405944824
11	-91.49192	30.41056	-59.677658	-149.14816	-76.12935	4.3460264	-68.48709	-81.139435	860.4	1000.0	43999	19.858706	33.772396	45.248665	-146.05978	19.85845	33.77242	45.39437	-144.7527	10.112957	6.045481	233.30792	-8.024212	-20.414865	6.563016	2937.3958168029785
12	-86.5613	19.658415	-64.48018	-113.661606	-112.75026	33.866974	-54.26504	-159.64452	683.6667	542.3	47999	18.680199	30.71847	41.547607	-146.84148	18.679794	30.717592	42.252693	-139.43547	9.361758	5.8271093	223.17816	-11.539789	-19.187157	6.3837323	3199.522880554199
13	-80.11259	37.614914	-39.565605	-137.29782	-53.239758	4.8786464	-41.8308	-60.212715	728.6667	1000.0	51999	17.893547	28.60555	38.61433	-175.8689	17.892855	28.602787	38.68005	-171.49414	9.688401	6.511478	214.9349	-9.6381	-18.410137	5.8047533	3465.5670771598816
14	-75.9318	15.3415575	-62.326897	-105.72676	-111.67772	4.9080367	-105.054054	-118.424805	812.2	71.3	55999	16.29053	27.024458	38.02351	-119.82496	16.289978	27.023619	40.23384	-123.07375	8.30795	5.955174	209.12563	-9.216039	-16.659662	4.7966366	3703.414859056473
15	-98.306915	15.814488	-71.36943	-112.343796	-55.3361	2.903632	-46.662186	-56.750385	406.125	1000.0	59999	13.266081	26.030634	34.9006	-127.73468	13.265268	26.030102	38.53651	-129.93158	8.215562	5.9867024	246.06976	-9.798271	-13.610556	4.498537	3962.265299320221
16	-94.68359	16.291359	-55.309063	-111.87421	-100.62631	1.2775766	-98.89989	-102.39574	276.0	90.9	63999	10.59351	25.700394	33.072018	-125.26615	10.593726	25.698748	35.014885	-121.56323	7.7011313	5.797182	276.50317	-9.670626	-10.876457	3.871846	4212.834947109222
17	-98.96339	31.375084	-31.701277	-170.39499	-99.24107	2.3216844	-95.72811	-102.37405	325.07693	73.7	67999	6.820695	26.163115	34.211445	-121.553	6.820796	26.160973	36.02383	-121.125854	7.482949	6.1184216	293.31116	-11.106846	-7.055242	4.0945783	4505.342464208603
18	-77.486565	24.37416	-53.94409	-110.72089	-66.474144	0.82141656	-65.212074	-68.12032	699.8	1000.0	71999	4.0853086	26.284882	26.89882	-126.55586	4.085426	26.283089	31.388475	-128.38489	7.3175488	6.148845	280.90958	-10.77056	-4.31288	3.6987267	4868.8064160346985
19	-75.1366	14.137337	-58.713467	-100.32941	-51.03866	8.904924	-38.433144	-61.85347	814.8	1000.0	75999	2.2469785	25.327267	22.379946	-124.428795	2.2468789	25.327063	30.15086	-122.05894	6.6567836	5.4998903	229.36018	-11.829829	-2.4462762	3.5390377	5310.398742198944
20	-56.54119	10.366751	-43.46145	-69.65856	-48.91817	2.9791052	-42.947655	-52.593407	1000.0	1000.0	79999	0.67189264	24.13552	18.529133	-122.193085	0.6719784	24.132793	20.019045	-123.74403	6.447091	5.5299854	246.03157	-9.80337	-0.86300623	2.9187388	5788.011857509613
21	-52.595192	4.28163	-48.89838	-59.790894	-58.382317	18.405163	-34.829193	-98.1942	1000.0	928.2	83999	-0.46864602	22.833002	15.203752	-121.62841	-0.4684062	22.834185	18.65666	-120.73317	6.0588574	5.611393	248.54666	-10.498316	0.2779695	2.7600493	6259.949970006943
22	-39.146667	9.781701	-24.426756	-48.12603	-39.221455	2.4843302	-35.896248	-42.79831	1000.0	1000.0	87999	-1.4250803	21.881577	16.814583	-119.821815	-1.4250014	21.88154	22.446634	-123.16118	6.1289077	5.571316	280.89212	-10.439526	1.2420307	2.6033473	6769.679667472839
23	-52.924484	7.848083	-45.668583	-64.87816	-80.530136	30.16886	-28.764593	-109.2256	1000.0	471.2	91999	-2.0251238	20.813452	16.146196	-115.5551	-2.0248582	20.811981	17.49168	-115.5974	6.24162	5.614372	260.33154	-10.772465	1.8500546	2.087332	7238.190473079681
24	-56.268913	21.500925	-37.126846	-97.612686	-63.779743	36.399914	-17.467363	-127.43785	820.8	744.7	95999	-2.5194166	20.102312	17.56013	-116.02896	-2.5190573	20.101109	22.909462	-119.90433	6.3837833	5.872541	266.3308	-10.506172	2.3416607	2.2486851	7706.795753479004
25	-68.68851	35.891586	-31.378738	-115.147484	-84.62036	28.047598	-49.691406	-111.429985	672.4286	455.3	99999	-2.8225434	19.59336	20.907637	-120.16029	-2.822375	19.591759	28.771326	-116.68017	5.9508586	5.850473	229.18933	-11.83115	2.670425	1.9970428	8167.970125198364
26	-82.532875	45.172215	-37.659206	-153.02934	-47.89686	9.840943	-35.391106	-57.069763	793.8	1000.0	103999	-3.2323527	19.56225	15.901154	-119.5654	-3.2320883	19.561785	26.4092	-125.97932	6.3175426	5.900442	222.64452	-12.430517	3.0881994	2.0183642	8656.507196187973
27	-93.67932	26.060642	-48.439014	-124.693825	-38.73916	10.814186	-30.131056	-59.952362	444.625	1000.0	107999	-3.7273076	19.699114	16.792336	-140.0336	-3.7271647	19.69952	20.48233	-142.35532	6.4460654	5.5278244	208.6324	-10.038798	3.6056137	2.083045	10041.548117160797
28	-64.55838	26.023062	-41.036736	-104.08702	-76.73394	17.076633	-49.87432	-104.28963	709.0	827.2	111999	-4.478676	19.554842	18.214296	-130.91725	-4.4785724	19.552723	17.914335	-138.4124	5.699353	5.822624	322.68234	-12.521793	4.371844	2.0694962	11536.43118596077
29	-67.80824	31.725548	-49.481144	-131.17523	-99.792915	23.813524	-61.975143	-118.972046	829.6	362.7	115999	-5.0787177	19.369095	10.341735	-115.2711	-5.0785017	19.369293	15.737876	-118.669655	5.622981	5.955604	293.52515	-10.3366585	4.98518	1.9169098	12874.606113433838
30	-82.8874	31.179134	-43.38328	-116.834915	-75.00327	7.237705	-64.1167	-84.41796	546.8333	1000.0	119999	-5.5740876	18.944662	9.425343	-120.443985	-5.5738606	18.94258	16.541395	-119.89361	5.268356	5.109413	268.45282	-10.130674	5.4818864	1.8138587	14435.914551019669
31	-49.925194	5.4544787	-42.23449	-56.87744	-42.027596	4.555313	-33.779915	-50.87927	1000.0	1000.0	123999	-6.111873	18.810097	7.7765946	-123.275185	-6.1117144	18.809164	11.109596	-121.68737	4.740719	5.0828366	305.96173	-9.195053	6.0303087	1.7318604	15953.256955385208
32	-47.824677	5.691548	-41.738003	-57.12474	-52.7994	4.211849	-42.347984	-58.1535	1000.0	1000.0	127999	-6.380093	18.654028	7.8319006	-143.3175	-6.380043	18.651667	9.035406	-142.10672	4.7310195	4.9804873	251.74887	-12.521344	6.2916765	1.7089849	17422.488935709
33	-45.18556	7.212696	-35.171494	-55.45383	-30.156933	1.4494522	-26.025774	-31.282673	1000.0	1000.0	131999	-6.358009	18.145548	7.13633	-120.65485	-6.357893	18.144651	10.510696	-125.10077	4.6366577	5.5040684	276.40308	-10.379332	6.269019	1.4465854	18970.512854099274
34	-39.532356	1.8814187	-36.33606	-41.149174	-28.639496	3.0612688	-25.644102	-32.690327	1000.0	1000.0	135999	-6.349053	17.672056	15.7385	-126.10552	-6.348843	17.67164	16.647945	-128.54892	4.476073	5.278718	239.29628	-12.236643	6.2562976	1.3804607	21667.986142635345
35	-33.065872	2.9810846	-28.644398	-36.897007	-83.017815	32.206417	-27.766573	-121.05919	1000.0	379.4	139999	-6.263493	17.27441	8.976552	-127.19913	-6.2635374	17.27264	9.906877	-125.95092	4.1022935	5.1543875	234.04445	-11.015352	6.177381	1.3235613	22075.840193271637
36	-35.2022	10.64021	-23.97086	-52.585556	-56.210938	2.9173706	-50.463863	-61.812347	1000.0	1000.0	143999	-6.290014	17.119366	15.120559	-125.864815	-6.29006	17.119194	16.410276	-125.133224	4.176134	5.132932	226.50363	-11.063856	6.2115016	1.4699911	22787.125138044357
37	-29.442274	2.8537774	-25.770714	-33.552624	-58.087593	13.705233	-38.707493	-74.170006	1000.0	1000.0	147999	-6.2822857	16.847605	8.944222	-131.5779	-6.2820873	16.84579	10.164122	-125.537796	3.9676785	4.6755667	216.00638	-10.394746	6.2059436	1.317073	24149.43951702118
38	-38.530544	5.797389	-34.1969	-48.38131	-44.19305	0.093228124	-44.063522	-44.30478	1000.0	1000.0	151999	-6.1941967	16.403517	9.436713	-138.92538	-6.1941323	16.402447	11.912971	-131.92348	4.2086873	4.8290634	223.75775	-10.924515	6.1116605	1.3188034	25517.124520778656
39	-36.095173	8.06702	-27.208689	-49.125744	-54.62806	39.38635	-18.978409	-116.15946	1000.0	760.3	155999	-6.0006757	16.065277	11.515762	-120.55861	-6.0005918	16.064333	13.723869	-115.98634	4.1094837	4.7347903	209.75714	-11.263035	5.915654	1.2420012	26884.772129058838
40	-44.00099	30.421398	-26.941988	-104.78835	-94.19857	18.972364	-37.481705	-103.436	883.2	172.6	159999	-5.9110036	15.823237	16.166517	-154.10526	-5.91088	15.822559	17.13336	-132.25177	3.9401865	4.5343018	182.10664	-9.402558	5.8392706	1.3067889	28206.4702501297
